name	ok	n_turns	j_crit	j_turn	ratio
nu=2.991,chi=0.567	True	1	0.12466211678775757	0.12320515815316901	0.988312739490305
nu=2.991,chi=0.633	True	1	0.10991470260399444	0.10876425414967843	0.9895332614558318
nu=2.991,chi=0.7	True	1	0.09515268319624413	0.09431026304158449	0.9911466484563317
nu=2.991,chi=0.767	True	1	0.08039799649560854	0.07986223026355926	0.9933360748351666
nu=2.991,chi=0.833	True	1	0.06568610990041526	0.06541075413051976	0.9958080061323017
nu=2.991,chi=0.9	True	1	0.05107852428870485	0.05101758153235508	0.9988068810287997
nu=4.105,chi=0.1	True	1	0.22557729824256006	0.22189737915872296	0.9836866603487726
nu=4.105,chi=0.167	True	1	0.21041533295028597	0.20699118550130371	0.9837267208574041
nu=4.105,chi=0.233	True	1	0.1952050132975341	0.19204109695579175	0.9837918284561685
nu=4.105,chi=0.3	True	1	0.17994956290803754	0.17705271034516623	0.9839018638553085
nu=4.105,chi=0.367	True	1	0.16465382598309128	0.1620298917280617	0.9840639338966892
nu=4.105,chi=0.433	True	1	0.14932377772991018	0.14698074077214096	0.9843090163308941
nu=4.105,chi=0.5	True	1	0.13396773793694242	0.13191484948086565	0.984676247522795
nu=4.105,chi=0.567	True	1	0.11859701669225933	0.11684403641394527	0.9852190187645042
nu=4.105,chi=0.633	True	1	0.10322726549206133	0.10178428936881537	0.9860213663864132
nu=4.105,chi=0.7	True	1	0.08788047676922753	0.08676037478181517	0.987254256820275
nu=4.105,chi=0.767	True	1	0.07258933312239839	0.0717828860225178	0.9888902809105468
nu=4.105,chi=0.833	True	1	0.0574050011957788	0.05691696822211789	0.991498424118197
nu=4.105,chi=0.9	True	1	0.042416181097871375	0.04223608486405321	0.9957540676893423
nu=5.635,chi=0.1	True	1	0.22454265508233695	0.22079818562612913	0.9833240171902538
nu=5.635,chi=0.167	True	1	0.20870513031678928	0.20517456826901012	0.9830834918029078
nu=5.635,chi=0.233	True	1	0.19283284647455717	0.18952389605945213	0.9828403175309575
nu=5.635,chi=0.3	True	1	0.1769318523991125	0.1738532281379203	0.9825999433146294
nu=5.635,chi=0.367	True	1	0.1610100501961873	0.15817106128278455	0.982367629163872
nu=5.635,chi=0.433	True	1	0.14507753392371317	0.14248894516271368	0.9821572045582146
nu=5.635,chi=0.5	True	1	0.1291477953727401	0.1268215769690938	0.9819879356288469
nu=5.635,chi=0.567	True	1	0.11323830386834041	0.11118864408695642	0.9818995895261105
nu=5.635,chi=0.633	True	1	0.09737309853413369	0.09561663647224618	0.9819615264551554
nu=5.635,chi=0.7	True	1	0.08158518767416334	0.08014179410067333	0.9823081417762417
nu=5.635,chi=0.767	True	1	0.06592213664735547	0.06481554666651707	0.98321368151706
nu=5.635,chi=0.833	True	1	0.05045653910086675	0.04971452681683711	0.9852940313138343
nu=5.635,chi=0.9	True	1	0.03531108711356051	0.034959739809084414	0.9900499437090066
nu=7.734,chi=0.1	True	1	0.22363359310227265	0.21983662609254517	0.9830214818934155
nu=7.734,chi=0.167	True	1	0.20720754671237435	0.20359071886384156	0.9825449028960643
nu=7.734,chi=0.233	True	1	0.1907634199965234	0.187336358983284	0.9820350200614884
nu=7.734,chi=0.3	True	1	0.1743101790334766	0.17108343901189044	0.9814885163937187
nu=7.734,chi=0.367	True	1	0.15785951843903237	0.15484483138061342	0.9809027223177342
